ID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,gender,age,education,origin_country,current_country,current_country_years,prior_pbma_consumed,meat_consumption,pbma_consumption,family_support,family_consumption,status_symbol,environmentally_friendly,animal_welfare
1,6,2,4,7,2,4,3,1,5,6,3,3,Male,18-30,Undergraduate,Germany,Germany,24,Yes,Three to four times a week,Three to four times a week,strongly agree,strongly agree,strongly disagree,somewhat agree,somewhat agree
2,1,1,1,2,1,1,1,1,1,1,1,2,Male,18-30,Undergraduate,Germany,Germany,1,Yes,Five or more times a week,Less than once a week,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
3,3,3,4,6,3,4,5,1,3,3,3,3,Female,18-30,Postgraduate,Germany,Germany,23,Yes,Three to four times a week,Once or twice a week,neither agree nor disagree,strongly disagree,strongly disagree,strongly agree,strongly agree
4,3,1,5,4,1,1,3,1,1,1,4,1,Female,18-30,Undergraduate,Germany,Germany,24,Yes,Less than once a week,Less than once a week,somewhat agree,strongly disagree,strongly disagree,somewhat agree,strongly disagree
5,2,6,7,7,7,4,2,4,7,5,2,2,Female,18-30,Postgraduate,Germany,Germany,25,Yes,Less than once a week,Less than once a week,strongly agree,somewhat agree,strongly disagree,strongly agree,strongly agree
6,7,1,6,7,1,2,3,1,1,1,3,1,Female,18-30,Postgraduate,Germany,Portugal,2,Yes,Less than once a week,Less than once a week,somewhat disagree,somewhat disagree,strongly disagree,strongly agree,strongly agree
7,2,4,3,7,3,2,1,3,6,3,5,4,Male,18-30,Undergraduate,Germany,Germany,23,Yes,Once or twice a week,Less than once a week,somewhat agree,somewhat agree,neither agree nor disagree,strongly agree,neither agree nor disagree
8,6,1,2,7,2,1,1,6,4,2,6,7,Female,18-30,Postgraduate,China,Germany,2,Yes,Five or more times a week,Less than once a week,somewhat agree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree
9,6,5,5,6,6,6,6,7,6,6,6,6,Female,18-30,Undergraduate,China,China,25,Yes,Five or more times a week,Once or twice a week,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree
10,1,2,1,2,1,1,1,1,2,1,1,1,Male,18-30,Postgraduate,China,China,25,No,Five or more times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,neither agree nor disagree
11,2,2,2,2,1,1,2,1,2,1,2,2,Female,18-30,Undergraduate,China,China,25,No,Five or more times a week,Less than once a week,neither agree nor disagree,somewhat disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree
12,4,6,3,5,3,5,3,3,6,3,3,3,Female,18-30,Postgraduate,China,Germany,3,No,Five or more times a week,Less than once a week,somewhat disagree,somewhat disagree,strongly disagree,somewhat agree,somewhat agree
13,4,3,3,7,3,2,1,2,2,2,2,2,Male,18-30,Postgraduate,Germany,Germany,27,Yes,Once or twice a week,Once or twice a week,somewhat disagree,somewhat disagree,neither agree nor disagree,strongly agree,strongly agree
14,6,2,3,7,4,2,1,1,3,2,3,2,Female,18-30,Undergraduate,Germany,Germany,25,Yes,Less than once a week,Once or twice a week,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree,strongly agree
15,3,1,4,7,1,3,1,1,1,1,3,1,Male,18-30,Undergraduate,Germany,Germany,24,Yes,Three to four times a week,Once or twice a week,somewhat agree,neither agree nor disagree,somewhat agree,strongly agree,somewhat agree
16,3,3,4,6,4,4,1,1,5,3,3,3,Female,18-30,Postgraduate,China,China,22,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,somewhat disagree,somewhat disagree,strongly agree,somewhat agree
17,5,2,5,6,2,1,6,1,2,1,2,1,Female,41-50,High school and below,Germany,Germany,,Yes,Three to four times a week,Once or twice a week,strongly disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree
18,6,6,3,7,6,1,1,3,7,3,3,3,Female,31-40,High school and below,Germany,Germany,31,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
19,1,1,1,1,1,1,1,1,7,1,1,1,Female,41-50,High school and below,Germany,Germany,49,Yes,Less than once a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree
20,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,High school and below,Germany,Germany,54,Yes,Once or twice a week,Less than once a week,somewhat disagree,somewhat disagree,somewhat disagree,strongly agree,strongly agree
21,2,1,2,2,2,1,2,1,1,1,1,1,Female,>60,High school and below,Germany,Germany,60,No,Once or twice a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree
22,1,3,3,5,1,3,1,1,5,1,1,1,Male,18-30,Postgraduate,China,China,29,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,strongly disagree,strongly disagree,somewhat agree,strongly agree
23,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,Postgraduate,Germany,Germany,55,No,Once or twice a week,Less than once a week,strongly disagree,somewhat agree,strongly disagree,strongly agree,strongly agree
24,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,High school and below,Germany,Germany,57,Yes,Five or more times a week,Less than once a week,strongly disagree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree
25,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,Technical secondary school,Germany,Germany,52,Yes,Three to four times a week,Less than once a week,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
26,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,Undergraduate,Germany,Germany,50,Yes,Once or twice a week,Less than once a week,somewhat agree,strongly disagree,strongly disagree,strongly agree,strongly agree
27,1,1,1,1,1,1,1,1,1,1,1,1,Female,41-50,High school and below,Germany,Germany,45,Yes,Less than once a week,Less than once a week,strongly disagree,somewhat disagree,strongly disagree,strongly agree,strongly agree
28,4,2,4,3,5,2,2,4,3,6,4,4,Female,<18,High school and below,Germany,Germany,17,Yes,Less than once a week,Once or twice a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,strongly agree
29,2,5,6,7,7,3,2,2,4,1,1,4,Male,51-60,PhD and above,Germany,Germany,55,Yes,Three to four times a week,Once or twice a week,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly agree,strongly agree
30,5,6,4,7,4,4,4,4,5,5,6,5,Male,18-30,High school and below,Germany,Germany,27,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree
31,1,3,2,4,1,1,1,1,2,1,1,1,Female,18-30,High school and below,Germany,United States of America,1,Yes,Three to four times a week,Less than once a week,strongly disagree,strongly disagree,somewhat agree,somewhat agree,strongly agree
32,3,4,3,1,1,1,4,5,5,2,1,1,Male,51-60,Technical secondary school,Germany,Germany,51,Yes,Three to four times a week,Once or twice a week,neither agree nor disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree
33,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,Technical secondary school,Germany,Germany,51,Yes,Once or twice a week,Less than once a week,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat agree,somewhat agree
34,4,4,6,6,4,2,1,1,5,2,2,2,Female,18-30,Undergraduate,Germany,Germany,23,Yes,Three to four times a week,Less than once a week,somewhat agree,somewhat disagree,strongly disagree,strongly agree,strongly agree
35,4,2,4,6,4,3,2,3,7,2,3,5,Female,31-40,Technical secondary school,Germany,France,20,Yes,Three to four times a week,Less than once a week,somewhat disagree,strongly disagree,strongly disagree,strongly agree,somewhat agree
36,6,1,6,6,1,6,4,1,1,1,5,1,Female,41-50,High school and below,Germany,Germany,42,Yes,Once or twice a week,Once or twice a week,neither agree nor disagree,strongly disagree,neither agree nor disagree,strongly agree,strongly agree
37,4,3,4,7,3,2,1,2,6,3,3,3,Male,18-30,Postgraduate,Germany,Netherlands,4,Yes,Three to four times a week,Once or twice a week,strongly agree,somewhat agree,somewhat disagree,neither agree nor disagree,somewhat agree
38,4,2,5,6,4,1,2,3,4,2,2,3,Male,18-30,High school and below,Germany,Germany,21,Yes,Three to four times a week,Less than once a week,somewhat disagree,strongly disagree,strongly disagree,somewhat disagree,somewhat disagree
39,6,1,2,6,7,3,5,7,4,1,2,5,Female,>60,Technical secondary school,Germany,Germany,63,No,Three to four times a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree
40,5,3,5,2,3,5,5,5,4,2,4,4,Female,31-40,Postgraduate,Germany,Germany,40,Yes,Less than once a week,Three to four times a week,strongly agree,somewhat agree,strongly disagree,strongly agree,strongly agree
41,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,Technical secondary school,Germany,Germany,51,Yes,Less than once a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree
42,1,1,1,1,1,1,1,1,1,1,1,1,Female,>60,High school and below,Germany,Germany,69,Yes,Three to four times a week,Less than once a week,strongly disagree,somewhat agree,strongly disagree,strongly agree,strongly agree
43,1,1,1,6,1,1,1,1,3,1,1,1,Female,51-60,High school and below,Germany,Germany,57,Yes,Three to four times a week,Less than once a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,neither agree nor disagree
44,7,1,5,7,1,4,6,2,1,1,5,1,Female,41-50,Postgraduate,Germany,Germany,45,Yes,Three to four times a week,Less than once a week,neither agree nor disagree,strongly disagree,somewhat agree,strongly agree,strongly agree
45,2,1,3,4,2,1,1,1,2,1,1,1,Male,51-60,High school and below,Germany,Germany,54,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,strongly disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree
46,4,2,3,6,2,2,2,2,2,3,3,2,Female,18-30,Undergraduate,Germany,Germany,23,Yes,Once or twice a week,Less than once a week,somewhat agree,somewhat agree,strongly disagree,somewhat agree,somewhat agree
47,4,1,4,6,3,3,4,1,3,3,4,4,Female,18-30,Undergraduate,Germany,Germany,2,Yes,Less than once a week,Once or twice a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,strongly agree
48,4,1,4,5,5,4,2,1,1,1,4,2,Female,18-30,Postgraduate,Germany,Germany,25,Yes,Less than once a week,Once or twice a week,strongly agree,strongly disagree,strongly disagree,strongly agree,strongly agree
49,5,1,5,5,1,3,3,1,1,1,3,1,Female,51-60,Technical secondary school,Germany,Germany,53,Yes,Once or twice a week,Once or twice a week,somewhat agree,somewhat disagree,strongly disagree,strongly agree,strongly agree
50,3,5,4,7,4,3,2,2,5,2,4,3,Female,18-30,Undergraduate,Germany,Germany,24,Yes,Once or twice a week,Once or twice a week,strongly agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
51,1,1,1,1,1,1,1,1,1,1,1,1,Male,41-50,High school and below,Germany,Germany,49,No,Three to four times a week,Less than once a week,strongly disagree,somewhat disagree,somewhat agree,somewhat disagree,somewhat agree
52,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,Postgraduate,Germany,Germany,57,No,Five or more times a week,Less than once a week,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree
53,1,2,1,4,1,1,1,1,4,1,1,4,Male,>60,Technical secondary school,Germany,Germany,74,Yes,Three to four times a week,Once or twice a week,somewhat disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat disagree
54,1,1,1,7,1,4,1,1,1,1,3,1,Female,51-60,High school and below,Germany,Germany,59,Yes,Less than once a week,Less than once a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,strongly agree
55,1,1,1,1,1,1,1,1,1,1,1,1,Male,>60,Postgraduate,Germany,Germany,69,No,Three to four times a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly agree
56,3,4,4,4,3,2,1,1,4,1,3,2,Female,18-30,Postgraduate,China,China,24,No,Five or more times a week,Less than once a week,strongly disagree,somewhat disagree,neither agree nor disagree,strongly agree,strongly agree
57,3,2,5,7,4,2,1,2,4,2,2,4,Male,18-30,High school and below,Germany,Germany,21,Yes,Five or more times a week,Less than once a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,strongly agree
58,6,3,5,6,2,2,4,2,4,4,3,5,Male,18-30,Postgraduate,Germany,Netherlands,4,Yes,Less than once a week,Once or twice a week,strongly agree,somewhat agree,somewhat disagree,strongly agree,strongly agree
59,1,4,3,3,3,2,1,1,4,2,2,2,Male,18-30,Technical secondary school,Germany,Germany,22,Yes,Three to four times a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly agree
60,3,2,3,4,3,3,3,3,3,3,3,4,Female,>60,Postgraduate,Germany,Germany,62,Yes,Three to four times a week,Three to four times a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,strongly agree
61,5,2,5,7,6,4,2,2,5,2,3,2,Female,18-30,Undergraduate,Germany,Germany,22,Yes,Less than once a week,Five or more times a week,somewhat agree,somewhat agree,strongly disagree,somewhat agree,strongly agree
62,7,7,1,6,5,4,5,6,5,7,5,5,Male,41-50,High school and below,Germany,Germany,45,Yes,Less than once a week,Five or more times a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,strongly agree
63,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,Undergraduate,Germany,Germany,52,Yes,Once or twice a week,Less than once a week,neither agree nor disagree,somewhat disagree,strongly disagree,strongly agree,strongly agree
64,1,1,1,1,1,1,1,1,1,1,1,1,Male,41-50,Postgraduate,Germany,Germany,5,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree
65,3,2,6,7,4,3,4,1,4,1,5,3,Male,18-30,High school and below,Germany,Germany,21,Yes,Five or more times a week,Once or twice a week,neither agree nor disagree,strongly disagree,strongly disagree,strongly disagree,somewhat agree
66,1,1,1,1,1,1,1,1,1,1,1,1,Female,>60,Postgraduate,Germany,Germany,70,No,Once or twice a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree
67,3,1,4,4,1,2,3,1,1,1,3,1,Female,18-30,Undergraduate,Germany,Germany,23,Yes,Less than once a week,Once or twice a week,strongly agree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree
68,7,1,4,7,1,2,5,1,1,1,2,1,Female,18-30,Postgraduate,Germany,Germany,22,Yes,Less than once a week,Three to four times a week,strongly agree,strongly agree,strongly disagree,somewhat agree,strongly agree
69,4,1,2,2,2,1,5,4,2,5,3,3,Female,18-30,Undergraduate,Germany,Germany,23,Yes,Less than once a week,Less than once a week,strongly agree,somewhat agree,strongly disagree,strongly agree,strongly agree
70,5,1,6,7,5,1,3,4,5,3,2,3,Male,18-30,Undergraduate,Germany,Germany,24,Yes,Less than once a week,Less than once a week,strongly agree,strongly agree,neither agree nor disagree,somewhat agree,strongly disagree
71,4,1,3,4,1,3,5,1,1,1,2,1,Female,51-60,High school and below,Germany,Germany,51,Yes,Less than once a week,Once or twice a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,strongly agree
72,2,4,2,6,3,3,1,1,4,1,2,2,Female,51-60,High school and below,Germany,Germany,52,Yes,Three to four times a week,Less than once a week,somewhat agree,somewhat agree,neither agree nor disagree,strongly agree,strongly agree
73,4,1,5,7,1,1,1,1,1,1,1,1,Female,18-30,Postgraduate,Germany,Germany,,Yes,Less than once a week,Once or twice a week,strongly agree,somewhat agree,strongly disagree,strongly agree,strongly agree
74,7,1,1,7,1,1,5,1,7,1,5,5,Female,18-30,Undergraduate,Germany,Germany,24,Yes,Once or twice a week,Three to four times a week,somewhat agree,strongly agree,strongly disagree,strongly agree,strongly agree
75,1,1,1,1,1,1,1,1,1,1,1,1,Male,51-60,PhD and above,Germany,Germany,57,Yes,Three to four times a week,Less than once a week,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat agree
76,1,1,3,5,3,3,5,1,2,2,4,2,Female,41-50,Postgraduate,Germany,Germany,44,Yes,Three to four times a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree
77,1,1,1,1,1,1,1,1,1,1,1,1,Female,>60,Technical secondary school,Germany,Germany,62,No,Less than once a week,Three to four times a week,neither agree nor disagree,strongly disagree,strongly disagree,strongly agree,strongly agree
78,6,6,6,6,6,6,5,5,4,6,6,6,Female,18-30,Undergraduate,China,China,27,Yes,Three to four times a week,Once or twice a week,strongly agree,neither agree nor disagree,somewhat disagree,somewhat agree,somewhat agree
79,6,3,7,3,6,2,2,1,3,1,2,2,Female,>60,Postgraduate,Germany,Germany,63,Yes,Once or twice a week,Less than once a week,somewhat disagree,strongly disagree,strongly disagree,strongly agree,neither agree nor disagree
80,3,6,4,6,2,1,2,6,5,1,1,3,Female,18-30,Postgraduate,China,China,23,Yes,Five or more times a week,Less than once a week,somewhat disagree,strongly disagree,strongly disagree,somewhat agree,somewhat agree
81,3,4,3,3,3,3,3,3,3,3,3,3,Female,18-30,Postgraduate,China,Netherlands,2,No,Three to four times a week,Less than once a week,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,somewhat disagree
82,5,7,2,7,1,2,3,4,6,2,2,5,Female,18-30,Undergraduate,China,United Kingdom of Great Britain and Northern Ireland,8,Yes,Five or more times a week,Less than once a week,somewhat disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree
83,4,2,3,5,2,2,2,2,5,2,4,3,Female,31-40,High school and below,Germany,Germany,39,Yes,Five or more times a week,Less than once a week,somewhat disagree,somewhat disagree,strongly disagree,strongly agree,strongly agree
84,1,4,1,2,1,1,1,1,5,1,1,1,Female,18-30,Undergraduate,China,Germany,2,Yes,Five or more times a week,Less than once a week,somewhat disagree,somewhat agree,strongly disagree,strongly agree,strongly agree
85,3,2,6,7,5,2,1,3,4,3,5,3,Female,18-30,Postgraduate,China,United Kingdom of Great Britain and Northern Ireland,1,Yes,Once or twice a week,Less than once a week,somewhat agree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree
86,3,2,2,2,3,2,3,3,2,3,3,4,Male,18-30,Undergraduate,China,China,3,No,Five or more times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
87,6,6,6,6,6,6,6,6,6,6,6,6,Male,41-50,Undergraduate,Germany,Germany,10,Yes,Less than once a week,Once or twice a week,strongly agree,somewhat agree,strongly disagree,strongly agree,strongly agree
88,6,5,3,3,4,3,3,4,5,5,4,5,Female,18-30,Undergraduate,China,China,6,Yes,Three to four times a week,Once or twice a week,somewhat agree,somewhat agree,somewhat disagree,strongly agree,strongly agree
89,5,5,6,6,6,6,6,5,6,6,6,6,Female,31-40,Postgraduate,China,China,31,No,Three to four times a week,Less than once a week,somewhat agree,strongly disagree,somewhat disagree,somewhat agree,strongly agree
90,2,4,1,5,1,1,1,1,1,1,1,1,Female,18-30,Undergraduate,China,China,3,Yes,Three to four times a week,Less than once a week,somewhat agree,strongly disagree,strongly disagree,strongly agree,strongly agree
91,1,1,3,4,2,2,1,1,5,1,2,3,Female,31-40,Postgraduate,China,China,36,Yes,Once or twice a week,Once or twice a week,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree
92,3,2,3,4,3,3,2,3,4,2,3,4,Female,18-30,Undergraduate,China,Netherlands,4,Yes,Once or twice a week,Once or twice a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,somewhat agree
93,5,5,4,4,4,4,4,5,4,3,3,3,Female,18-30,Undergraduate,China,China,22,Yes,Three to four times a week,Once or twice a week,somewhat agree,somewhat agree,somewhat disagree,strongly agree,strongly agree
94,5,3,4,4,3,3,4,2,5,2,4,4,Female,18-30,Undergraduate,China,China,22,Yes,Once or twice a week,Once or twice a week,neither agree nor disagree,somewhat disagree,strongly disagree,strongly agree,strongly agree
95,5,2,3,3,3,2,5,5,3,5,5,5,Female,18-30,Postgraduate,China,Netherlands,3,Yes,Three to four times a week,Less than once a week,neither agree nor disagree,strongly disagree,somewhat disagree,somewhat agree,strongly agree
96,3,4,3,5,4,2,1,1,3,2,2,2,Male,31-40,Postgraduate,China,Germany,1.5,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,strongly disagree,strongly disagree,somewhat agree,neither agree nor disagree
97,6,2,4,7,4,3,3,2,3,3,4,2,Male,18-30,High school and below,Germany,Germany,22,Yes,Less than once a week,Three to four times a week,strongly agree,somewhat agree,strongly disagree,somewhat agree,strongly agree
98,5,2,4,7,3,3,1,2,2,2,2,2,Male,18-30,High school and below,Germany,Germany,21,Yes,Three to four times a week,Less than once a week,neither agree nor disagree,somewhat agree,strongly disagree,strongly agree,strongly agree
99,1,5,1,5,1,1,1,1,6,2,1,1,Female,31-40,Postgraduate,China,Germany,9,No,Five or more times a week,Less than once a week,somewhat disagree,somewhat disagree,strongly disagree,strongly agree,neither agree nor disagree
100,4,4,3,7,4,3,1,1,5,2,2,2,Male,18-30,Postgraduate,China,Germany,2,Yes,Five or more times a week,Once or twice a week,neither agree nor disagree,somewhat disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree
101,4,2,5,7,5,1,3,4,4,2,1,5,Male,18-30,Postgraduate,China,Singapore,1,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,somewhat disagree,strongly agree,neither agree nor disagree
102,1,1,1,1,1,1,1,1,1,1,1,1,Male,18-30,Postgraduate,China,Germany,2,No,Five or more times a week,Less than once a week,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
103,4,1,5,6,1,4,2,1,1,1,3,1,Male,18-30,Undergraduate,Germany,Germany,24,Yes,Three to four times a week,Once or twice a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,somewhat agree
104,1,1,1,1,1,1,1,1,1,1,1,1,Female,>60,High school and below,Germany,Germany,74,Yes,Three to four times a week,Once or twice a week,strongly disagree,neither agree nor disagree,neither agree nor disagree,strongly agree,strongly agree
105,6,1,4,5,4,2,2,2,2,2,2,1,Male,31-40,Postgraduate,Germany,Germany,,Yes,Once or twice a week,Less than once a week,somewhat disagree,somewhat agree,neither agree nor disagree,strongly agree,neither agree nor disagree
106,4,1,2,5,4,2,2,3,4,4,2,2,Male,41-50,High school and below,Germany,Germany,43,Yes,Once or twice a week,Once or twice a week,strongly agree,strongly agree,strongly disagree,somewhat agree,strongly agree
107,4,4,5,6,3,3,2,3,4,1,1,3,Female,31-40,Postgraduate,Germany,Germany,40,Yes,Three to four times a week,Once or twice a week,somewhat agree,somewhat agree,strongly disagree,strongly agree,strongly agree
108,3,3,2,4,3,2,2,2,5,2,6,5,Female,>60,Technical secondary school,China,China,50,No,Three to four times a week,Less than once a week,neither agree nor disagree,somewhat agree,somewhat disagree,neither agree nor disagree,neither agree nor disagree
109,1,1,3,3,1,1,1,1,1,1,1,1,Female,31-40,High school and below,Germany,Germany,36,Yes,Once or twice a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,strongly agree,neither agree nor disagree
110,3,3,1,3,1,1,1,1,3,1,1,1,Female,31-40,High school and below,Germany,Germany,39,Yes,Three to four times a week,Once or twice a week,somewhat agree,strongly disagree,strongly disagree,strongly agree,strongly agree
111,1,4,1,4,1,1,1,1,4,1,6,6,Male,31-40,PhD and above,China,Germany,1,No,Five or more times a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree
112,1,3,1,4,1,1,1,1,4,1,1,1,Female,18-30,Postgraduate,China,China,10,No,Three to four times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree
113,5,4,4,4,4,3,4,5,4,4,2,3,Female,18-30,Undergraduate,China,China,24,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly agree,neither agree nor disagree
114,1,4,6,7,1,1,1,1,4,1,1,2,Female,18-30,Postgraduate,China,Germany,1,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat disagree,neither agree nor disagree
115,1,1,1,1,1,1,1,1,1,1,1,1,Female,31-40,Postgraduate,China,China,28,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,somewhat agree,strongly disagree,neither agree nor disagree,neither agree nor disagree
116,3,4,2,6,4,3,3,1,4,4,4,3,Female,18-30,Undergraduate,China,China,24,No,Five or more times a week,Less than once a week,somewhat disagree,somewhat disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree
117,1,4,2,4,4,4,3,3,6,3,3,3,Female,18-30,Undergraduate,China,China,24,Yes,Five or more times a week,Less than once a week,somewhat disagree,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree
118,1,1,1,1,1,1,1,1,1,1,1,1,Female,18-30,Postgraduate,China,China,24,Yes,Five or more times a week,Less than once a week,somewhat disagree,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree
119,1,4,3,5,2,3,1,1,3,1,2,3,Female,31-40,Postgraduate,China,China,32,Yes,Five or more times a week,Less than once a week,strongly disagree,somewhat disagree,strongly disagree,strongly agree,strongly agree
120,4,5,4,6,4,4,4,3,5,3,6,3,Male,18-30,Undergraduate,China,Germany,1,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,somewhat disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree
121,4,4,4,4,4,4,4,4,4,4,4,4,Female,18-30,Undergraduate,China,China,25,No,Five or more times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat agree,somewhat agree
122,1,4,1,7,3,1,1,1,3,1,1,1,Male,18-30,Undergraduate,China,Germany,3,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree
123,2,2,2,2,2,2,2,2,2,2,2,2,Female,18-30,Postgraduate,China,China,24,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree
124,1,1,1,5,2,1,1,1,3,1,1,1,Male,18-30,Postgraduate,China,China,20,Yes,Five or more times a week,Less than once a week,,,,,
125,2,2,2,2,1,2,2,2,2,2,2,2,Male,>60,Postgraduate,Germany,Germany,74,Yes,Once or twice a week,Less than once a week,strongly disagree,strongly disagree,strongly disagree,,
126,5,1,6,5,5,5,5,5,5,5,5,5,Female,18-30,Undergraduate,Germany,Germany,,Yes,Three to four times a week,Once or twice a week,,,,,
127,4,6,3,7,1,3,1,1,4,1,3,3,Female,18-30,Postgraduate,China,United Kingdom of Great Britain and Northern Ireland,6,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree
128,1,1,1,1,1,1,1,1,1,1,1,1,Female,51-60,Postgraduate,Germany,Germany,54,Yes,Less than once a week,Less than once a week,strongly disagree,somewhat agree,strongly disagree,neither agree nor disagree,neither agree nor disagree
129,1,1,1,1,1,1,1,1,1,1,1,1,Male,>60,Postgraduate,Germany,Germany,70,No,Once or twice a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
130,1,1,1,1,1,1,1,1,1,1,1,1,Female,>60,Postgraduate,Germany,Germany,60,Yes,Less than once a week,Once or twice a week,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly agree,neither agree nor disagree
131,4,1,4,6,1,1,1,1,1,1,3,1,Female,>60,High school and below,Germany,Germany,Schon immer ,No,Five or more times a week,Less than once a week,neither agree nor disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree
132,1,5,1,7,3,3,2,2,6,1,2,5,Female,18-30,Undergraduate,China,China,20,Yes,Five or more times a week,Less than once a week,neither agree nor disagree,strongly disagree,strongly disagree,somewhat agree,strongly agree